order_id,customer_id,order_date,product,category,quantity,unit_price,currency,expected_amount,payment_reference,order_status
ORD-1023,CUST-123,2026-06-12,Laptop Stand,Office,5,55.0,EUR,275.0,pi_1023,Paid
ORD-1026,CUST-126,2026-06-25,Desk Lamp,Office,1,45.0,EUR,45.0,pi_1026,PAID
ORD-1035,CUST-135,2026-01-13,Noise Cancelling Headphones,Electronics,2,199.0,EUR,398.0,pi_1035,Paid
ORD-1016,CUST-116,2026-06-08,Notebook Pack,Stationery,5,12.0,EUR,60.0,pi_1016,PAID
ORD-1089,CUST-189,2026-06-28,Wireless Charger,Electronics,1,49.0,EUR,49.0,pi_1089,CANCELLED
ORD-1024,CUST-124,2026-03-04,Laptop Stand,Office,4,55.0,EUR,220.0,pi_1024,paid
ORD-1066,CUST-166,2026-15-06,HDMI Cable,Electronics,1,15.0,EUR,15.0,pi_1066,PAID
ORD-1050,CUST-150,2026-05-26,USB-C Dock,Electronics,1,89.9,EUR,89.9,pi_1050,Paid
ORD-1082,CUST-182,32-06-2026,Mouse Pad,Office,1,20.0,EUR,,pi_1082,PAID
,CUST-177,2026-03-13,Portable SSD,Electronics,1,89.0,EUR,89.0,pi_1077,PAID
ORD-1040,CUST-140,2026-05-18,Desk Organizer,Stationery,3,28.0,EUR,84.0,pi_1040,Paid
ORD-1042,CUST-142,2026-02-10,Portable SSD,Electronics,1,89.0,EUR,89.0,pi_1042,Paid
ORD-1049,CUST-149,2026-03-20,External Monitor,Electronics,1,300.0,EUR,300.0,pi_1049,PAID
ORD-1038,CUST-138,2026-04-30,Desk Shelf,Office,3,75.0,EUR,225.0,pi_1038,Paid
ORD-1061,CUST-161,2026-32-01,USB Hub,Electronics,1,45.0,EUR,45.0,pi_1061,PAID
ORD-1067,CUST-167,2026-13-99,Monitor Arm,Office,2,89.0,EUR,178.0,pi_1067,PAID
ORD-1007,CUST-107,2026-06-16,Cable Management Box,Office,5,32.0,EUR,160.0,pi_1007,paid
ORD-1064,CUST-164,2026-32-01,Wireless Mouse,Electronics,3,39.9,EUR,119.7,pi_1064,PAID
ORD-1043,CUST-143,2026-03-09,Desk Shelf,Office,2,75.0,EUR,150.0,pi_1043,Paid
ORD-1078,CUST-178,32-06-2026,External Monitor,Electronics,1,300.0,EUR,,pi_1078,PAID
ORD-1052,CUST-152,2026-02-02,Monitor Arm,Office,4,89.0,EUR,356.0,pi_1052,Paid
ORD-1030,CUST-130,2026-06-14,Portable SSD,Electronics,2,89.0,EUR,178.0,pi_1030,paid
ORD-1025,CUST-125,2026-03-11,USB Hub,Electronics,5,45.0,EUR,225.0,pi_1025,PAID
,CUST-176,2026-04-19,Laptop Stand,Office,1,55.0,EUR,55.0,pi_1076,PAID
ORD-1053,CUST-153,2026-02-12,Premium Webcam,Electronics,5,95.0,EUR,475.0,pi_1053,Paid
ORD-1031,CUST-131,2026-02-05,External Monitor,Electronics,5,300.0,EUR,1500.0,pi_1031,Paid
ORD-1062,CUST-162,2026-15-06,Standing Desk Mat,Office,2,35.0,EUR,70.0,pi_1062,PAID
ORD-1012,CUST-112,2026-01-24,Cable Organizer,Office,1,18.0,EUR,18.0,pi_1012,paid
ORD-1027,CUST-127,2026-01-09,Desk Lamp,Office,4,45.0,EUR,180.0,pi_1027,paid
ORD-1072,CUST-172,2026-03-28,Noise Cancelling Headphones,Electronics,1,199.0,EUR,,pi_1072,PAID
ORD-1092,CUST-192,2026-02-25,Standing Desk Mat,Office,1,35.0,EUR,35.0,pi_1092,CANCELLED
ORD-1088,CUST-188,2026-04-27,Ergonomic Keyboard,Electronics,1,150.0,EUR,150.0,pi_1088,Completed
ORD-1005,CUST-105,2026-01-24,Wireless Mouse,Electronics,2,39.9,EUR,79.8,pi_1005,Paid
ORD-1008,CUST-108,2026-02-26,Portable SSD,Electronics,5,89.0,EUR,445.0,pi_1008,paid
ORD-1056,CUST-156,2026-06-21,USB Hub,Electronics,3,45.0,EUR,135.0,pi_1056,paid
ORD-1047,CUST-147,2026-05-16,Mechanical Keyboard,Electronics,5,120.0,EUR,600.0,pi_1047,paid
ORD-1036,CUST-136,2026-02-10,Monitor Arm,Office,4,89.0,EUR,356.0,pi_1036,Paid
ORD-1029,CUST-129,2026-03-22,Wireless Mouse,Electronics,4,39.9,EUR,159.6,pi_1029,paid
ORD-1011,CUST-111,2026-02-25,Desk Organizer,Stationery,3,28.0,EUR,84.0,pi_1011,PAID
ORD-1098,CUST-198,2026-01-15,Desk Shelf,Office,1,75.0,EUR,75.0,pi_1098,PAID
ORD-1079,CUST-179,2026-00-10,USB-C Dock,Electronics,1,89.9,EUR,,pi_1079,PAID
ORD-1081,CUST-181,2026/99/01,Standing Desk Mat,Office,1,35.0,EUR,,pi_1081,PAID
ORD-1058,CUST-158,2026-02-27,USB-C Dock,Electronics,3,89.9,EUR,269.7,pi_1058,PAID
ORD-1001,CUST-101,2026-06-13,Noise Cancelling Headphones,Electronics,1,199.0,EUR,199.0,pi_1001,Paid
ORD-1003,CUST-103,2026-01-27,Monitor Arm,Office,5,89.0,EUR,445.0,pi_1003,PAID
ORD-1063,CUST-163,2026/99/01,External Monitor,Electronics,2,300.0,EUR,600.0,pi_1063,PAID
ORD-1096,CUST-196,2026-05-03,Desk Shelf,Office,1,75.0,EUR,75.0,pi_1096,PAID
ORD-1055,CUST-155,2026-06-26,Wireless Mouse,Electronics,3,39.9,EUR,119.7,pi_1055,paid
ORD-1006,CUST-106,2026-06-04,Mechanical Keyboard,Electronics,5,120.0,EUR,600.0,pi_1006,PAID
ORD-1004,CUST-104,2026-06-01,HDMI Cable,Electronics,1,15.0,EUR,15.0,pi_1004,PAID
ORD-1054,CUST-154,2026-04-19,Wireless Mouse,Electronics,5,39.9,EUR,199.5,pi_1054,Paid
ORD-1091,CUST-191,2026-02-09,Wireless Mouse,Electronics,1,39.9,EUR,39.9,pi_1091,Completed
ORD-1033,CUST-133,2026-05-30,Cable Organizer,Office,3,18.0,EUR,54.0,pi_1033,PAID
ORD-1095,CUST-195,2026-01-13,Laptop Sleeve,Accessories,1,35.0,EUR,35.0,pi_1095,PAID
ORD-1094,CUST-194,2026-03-22,Standing Desk Mat,Office,1,35.0,EUR,35.0,pi_1094,PAID
ORD-1044,CUST-144,2026-01-28,USB Hub,Electronics,3,45.0,EUR,135.0,pi_1044,Paid
ORD-1060,CUST-160,2026-02-26,Mechanical Keyboard,Electronics,1,120.0,EUR,120.0,pi_1060,Paid
ORD-1022,CUST-122,2026-03-10,Cable Management Box,Office,1,32.0,EUR,32.0,pi_1022,Paid
ORD-1046,CUST-146,2026-04-06,Desk Organizer,Stationery,2,28.0,EUR,56.0,pi_1046,Paid
ORD-1085,CUST-185,2026-05-04,Wireless Mouse,Electronics,2,39.9,USD,79.8,pi_1085,PAID
,CUST-175,2026-04-25,Office Chair,Office,1,249.0,EUR,249.0,pi_1075,PAID
ORD-1019,CUST-119,2026-03-01,Noise Cancelling Headphones,Electronics,4,199.0,EUR,796.0,pi_1019,paid
ORD-1090,CUST-190,2026-06-19,Cable Management Box,Office,1,32.0,EUR,32.0,pi_1090,Completed
ORD-1020,CUST-120,2026-04-27,USB Hub,Electronics,3,45.0,EUR,135.0,pi_1020,PAID
ORD-1087,CUST-187,2026-01-01,Cable Organizer,Office,2,18.0,USD,36.0,pi_1087,PAID
ORD-1015,CUST-115,2026-01-21,Mouse Pad,Office,3,20.0,EUR,60.0,pi_1015,Paid
ORD-1084,CUST-184,2026-02-12,HDMI Cable,Electronics,2,15.0,USD,30.0,pi_1084,PAID
ORD-1018,CUST-118,2026-02-28,Desk Organizer,Stationery,3,28.0,EUR,84.0,pi_1018,PAID
ORD-1014,CUST-114,2026-04-28,Mouse Pad,Office,1,20.0,EUR,20.0,pi_1014,paid
,CUST-174,2026-02-18,Mouse Pad,Office,1,20.0,EUR,20.0,pi_1074,PAID
ORD-1071,CUST-171,2026-01-16,Cable Organizer,Office,1,18.0,EUR,,pi_1071,PAID
ORD-1093,CUST-193,2026-05-19,Standing Desk Mat,Office,1,35.0,EUR,35.0,pi_1093,PAID
ORD-1068,CUST-168,32-06-2026,HDMI Cable,Electronics,2,15.0,EUR,30.0,pi_1068,PAID
ORD-1095,CUST-195,2026-01-13,Laptop Sleeve,Accessories,1,35.0,EUR,35.0,pi_1095,PAID
ORD-1070,CUST-170,2026-06-15,Noise Cancelling Headphones,Electronics,1,199.0,EUR,,pi_1070,PAID
ORD-1057,CUST-157,2026-05-13,Portable SSD,Electronics,1,89.0,EUR,89.0,pi_1057,PAID
ORD-1021,CUST-121,2026-04-05,Notebook Pack,Stationery,2,12.0,EUR,24.0,pi_1021,Paid
ORD-1037,CUST-137,2026-01-17,Cable Organizer,Office,4,18.0,EUR,72.0,pi_1037,Paid
ORD-1048,CUST-148,2026-05-06,Mechanical Keyboard,Electronics,1,120.0,EUR,120.0,pi_1048,paid
ORD-1032,CUST-132,2026-03-09,Wireless Charger,Electronics,5,49.0,EUR,245.0,pi_1032,paid
ORD-1009,CUST-109,2026-01-02,Desk Organizer,Stationery,2,28.0,EUR,56.0,pi_1009,Paid
ORD-1045,CUST-145,2026-05-10,Phone Stand,Accessories,2,25.0,EUR,50.0,pi_1045,PAID
ORD-1097,CUST-197,2026-05-16,Laptop Stand,Office,1,55.0,EUR,55.0,pi_1097,PAID
ORD-1099,CUST-199,2026-01-21,Laptop Stand,Office,1,55.0,EUR,55.0,pi_1099,PAID
ORD-1065,CUST-165,2026-32-01,Laptop Sleeve,Accessories,2,35.0,EUR,70.0,pi_1065,PAID
ORD-1028,CUST-128,2026-01-17,Wireless Mouse,Electronics,5,39.9,EUR,199.5,pi_1028,Paid
ORD-1069,CUST-169,2026-06-22,USB Hub,Electronics,1,45.0,EUR,,pi_1069,PAID
ORD-1093,CUST-193,2026-05-19,Standing Desk Mat,Office,1,35.0,EUR,35.0,pi_1093,PAID
ORD-1013,CUST-113,2026-03-30,Phone Stand,Accessories,3,25.0,EUR,75.0,pi_1013,PAID
ORD-1073,CUST-173,2026-03-05,Wireless Mouse,Electronics,1,39.9,EUR,,pi_1073,PAID
ORD-1080,CUST-180,2026-15-06,Mouse Pad,Office,1,20.0,EUR,,pi_1080,PAID
ORD-1094,CUST-194,2026-03-22,Standing Desk Mat,Office,1,35.0,EUR,35.0,pi_1094,PAID
ORD-1002,CUST-102,2026-03-12,External Monitor,Electronics,2,300.0,EUR,600.0,pi_1002,PAID
ORD-1010,CUST-110,2026-04-19,Desk Lamp,Office,3,45.0,EUR,135.0,pi_1010,PAID
ORD-1041,CUST-141,2026-03-29,Noise Cancelling Headphones,Electronics,3,199.0,EUR,597.0,pi_1041,paid
ORD-1059,CUST-159,2026-05-31,Mouse Pad,Office,2,20.0,EUR,40.0,pi_1059,Paid
ORD-1039,CUST-139,2026-01-03,Monitor Arm,Office,1,89.0,EUR,89.0,pi_1039,Paid
ORD-1083,CUST-183,2026-01-04,USB-C Dock,Electronics,1,89.9,USD,89.9,pi_1083,PAID
ORD-1086,CUST-186,2026-01-16,Laptop Stand,Office,2,55.0,USD,110.0,pi_1086,PAID
ORD-1017,CUST-117,2026-06-30,USB-C Dock,Electronics,1,89.9,EUR,89.9,pi_1017,Paid
ORD-1051,CUST-151,2026-05-05,USB-C Dock,Electronics,5,89.9,EUR,449.5,pi_1051,PAID
ORD-1034,CUST-134,2026-02-05,Desk Shelf,Office,4,75.0,EUR,300.0,pi_1034,PAID
